;OMR;CU;SH;MR
fehlen ;3;3;3;3
essen ;5;4;5;4
aufessen ;4;4;4;4
nehmen ;2;2;2;2
besitzen ;3;3;3;3
vorherrschen ;3;3;3;3
hﾄmmern ;5;5;5;5
stehlen ;4;2;1;1
befehlen ;2;2;2;1
erﾔrtern ;5;5;5;4
erlauben ;2;2;2;1
existieren ;3;3;3;3
halten ;3;5;5;3
einschlafen ;4;4;4;2
mieten ;3;2;3;1
anfangen ;2;2;2;2
melden ;2;2;1;3
fallen ;5;5;5;5
abweichen ;3;2;3;2
abschaffen ;2;1;2;1
weitersagen ;1;2;1;1
vermieten ;3;2;3;1
auftreten ;1;5;5;3
richten ;2;2;2;3
denken ;5;0;3;5
beachten ;3;0;3;2
leihen ;3;2;3;1
schmelzen ;4;1;1;1
ﾁbersehen ;2;2;5;2
bestehen ;2;3;3;2
stattfinden ;3;2;3;5
entstehen ;4;1;1;2
liegen ;3;5;3;3
ﾁbereinstimmen ;3;3;3;3
vorkommen ;3;3;3;3
verlieren ;2;2;1;2
vorhanden ;0;0;3;3
aussetzen ;3;2;1;1
vergehen ;4;0;5;2
einschlﾄfern ;2;1;1;1
vereinbaren ;1;2;2;1
schrumpfen ;5;5;5;1
grﾁnden ;1;1;2;1
dﾁrfen ;3;3;3;3
ﾄndern ;1;2;1;1
laufen ;5;5;5;5
behalten ;3;2;3;3
zunehmen ;5;5;5;1
testen ;1;5;1;1
betreffen ;3;3;3;3
herstellen ;1;1;1;1
verﾄndern ;1;1;1;1
wachsen ;5;5;5;5
kaufen ;4;4;4;4
sagen ;1;5;1;5
angehﾔren ;3;3;3;3
bilden ;1;3;3;1
ausprobieren ;4;5;5;4
vorgehen ;1;5;5;5
orientieren ;0;5;5;5
untersuchen ;5;1;1;4
verhindern ;2;2;1;1
hinzukommen ;1;2;2;2
verraten ;1;2;1;5
diskutieren ;5;5;5;4
verkﾁnden ;2;1;1;1
organisieren ;5;1;1;5
bekanntgeben ;2;2;1;5
geben ;2;2;1;1
nachprﾁfen ;1;2;1;4
verkaufen ;1;4;2;1
kﾔnnen ;3;0;3;3
senken ;1;5;5;1
vorliegen ;3;3;3;3
abgrenzen ;1;2;3;1
sein ;3;0;3;3
ansteigen ;1;5;5;5
verlﾄngern ;1;5;2;1
dauern ;3;3;3;3
entwickeln ;1;1;1;1
bedenken ;4;3;5;4
ﾁbermitteln ;2;1;1;1
aufbauen ;1;1;1;1
unterscheiden ;3;3;3;4
mﾁssen ;3;0;3;3
eingehen ;4;1;2;5
schneiden ;5;5;5;1
mitteilen ;2;2;1;1
beraten ;5;5;5;4
sinken ;5;5;5;5
erscheinen ;2;5;2;3
sterben ;2;5;2;2
zersﾄgen ;1;1;1;1
folgen ;3;5;5;3
ausdehnen ;1;5;5;1
